Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
India,IND,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.942309744278839,0.939789720011458,0.957620477500199,0.969744882653011,1.02822643182898,1.05460489385527,1.10810989189174,1.18862350046436,1.25815998206335,1.32284533301467,1.39129863287623,1.46337391608571,1.57607553513255,1.59945855716817,1.70517686000076,1.71550269097521,1.7202923565219,1.79545339877531,1.85989309419052,1.83688223212799,1.68040016064392,1.83702951699406,1.96929618962877,2.09622858892568,2.17365173535787
India,IND,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,67.251600486733,67.1290170686448,67.936664276446,68.1654620036029,69.0182873531346,69.3475084968063,70.043890715119,70.9531749565034,71.4399671029214,75.572444969932,74.8456936081965,74.91097352691,75.0747477888592,74.981867206836,75.7857287344087,45.956629150643,0,0,0,0,0,0,0,0,..
India,IND,"Mammal species, threatened",EN.MAM.THRD.NO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93,..,..,..,99,..,..
India,IND,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,5.9,5.9,6,6,6,6,6,6,7.5,7.5,7.5,7.7
India,IND,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4.4,4.4,4.4,4.5
India,IND,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,46.9,47.1,45.8,45.6,44.9,44.2,43.2,41.5,39.4,37.4,36.2,35,34.8,34.9,33.9,33.4,33,32.5,32.9,33.5,36.1,34.9,..,..,..
United Kingdom,GBR,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1194560410036,70.0739883437358,70.1690571652957,70.0863886248088,70.4790641921217,70.0863886248088,73.7320712602819,72.9425866986318,73.0955234985326,71.6116231967925,71.1941470673335,70.9461414458728,71.020543132311,71.3024428553714,71.2272144835283,70.8386723432398,71.7148836440293,72.1950667548465,71.7185202331253,72.4229988013062,71.3400491877816,71.1575290373248,71.9816417972141,70.3073227793163,..
United Kingdom,GBR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3786.40281086309,3785.6601241847,3716.62337347063,3764.06191688174,3697.50381825103,3689.55051742336,3601.05090812166,3443.58715993443,3370.1581117517,3144.00201324492,3235.05383786127,2973.83120573757,3028.77223348044,2962.29760006424,2767.96188412765,2774.79682774608,2696.97999020896,2658.99577329303,2632.15067210726,2515.97344619501,2317.4085386833,2377.26368887082,2254.36941582721,2127.6084341819,..
United Kingdom,GBR,Forest area (% of land area),AG.LND.FRST.ZS,12.2101434299177,12.2535444136734,12.296945397429,12.3403463811846,12.3837473649403,12.4271483486959,12.4705493324515,12.5139503162072,12.5573512999628,12.6007522837184,12.6441532674741,12.7235150663415,12.8028768652089,12.8822386640764,12.9616004629438,13.0409622618113,13.0574959699087,13.0781631050304,13.1153639482495,13.1525647914686,13.1856322076634,13.2214553796553,13.2554871243748,13.2907130161617,..
United Kingdom,GBR,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CH4.PI.MT.CE.AR5,0.1589,0.1752,0.1861,0.1917,0.1982,0.2107,0.2044,0.213,0.2168,0.2134,0.2276,0.2149,0.1986,0.2044,0.2367,0.2722,0.3072,0.3143,0.339,0.3581,0.3538,0.3757,0.3507,0.3195,0.3113
United Kingdom,GBR,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.N2O.PI.MT.CE.AR5,0.53,0.5988,0.5745,0.6187,0.6023,0.6323,0.6776,0.6257,0.5661,0.4895,0.5137,0.5284,0.6538,0.617,0.5538,0.5197,0.3871,0.3729,0.3884,0.3782,0.3816,0.4069,0.3702,0.3424,0.3362
United Kingdom,GBR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,16.1050537226586,15.8242932230906,15.5139600251641,15.1808631587997,14.8318116539182,14.4736145404402,14.0333652646937,13.5048788789412,12.9950468220049,12.6107605327068,12.4589114498692,13.0110598336171,11.4844614132453,11.3936196663408,10.8076454562065,10.4602728529493,10.0359721133567,10.3814201449701,10.2397854923418,9.94569869317993,9.91288560282114,..,..,..,..
United Kingdom,GBR,"Plant species (higher), threatened",EN.HPT.THRD.NO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42,..,..,..,53,..,..
United Kingdom,GBR,"Bird species, threatened",EN.BIR.THRD.NO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,..,..,11,..,..
United Kingdom,GBR,"Fish species, threatened",EN.FSH.THRD.NO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48,..,..,..,60,..,..
United Kingdom,GBR,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,9.37230154582975,9.52500193970965,9.21604321231769,9.40083618149317,9.35478076788979,9.2634507993102,9.20229684969568,8.97579081257711,8.63835719565399,7.76330695463938,7.97797355319206,7.25917227971883,7.55583494216069,7.33126023168431,6.66445837202105,6.38957565142576,5.97285960339598,5.77133371736955,5.64018313747379,5.38807912233045,4.78988972791562,5.04470918428281,4.80733240636649,4.44995911931321,4.22412677317771
